city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Almada,Entire serviced apartment,6,12542.833333333334,12270.0,75257.0,0.24250000000000002,1.8333333333333333,50.5
Almada,Entire townhouse,2,40780.0,40780.0,81560.0,0.4,3.5,54.5
Almada,Entire vacation home,1,36368.0,36368.0,36368.0,0.258,2.0,63.0
Almada,Entire villa,13,76448.15384615384,50094.0,993826.0,0.3787692307692308,4.6923076923076925,47.30769230769231
Almada,Farm stay,2,8847.0,8847.0,17694.0,0.040999999999999995,7.0,46.5
Almada,Hut,3,72120.0,95722.0,216360.0,0.48666666666666664,2.3333333333333335,50.666666666666664
Almada,Private room in casa particular,1,4088.0,4088.0,4088.0,0.156,0.0,60.0
Almada,Private room in condo,1,9907.0,9907.0,9907.0,0.433,0.0,42.0
Almada,Private room in cottage,1,16528.0,16528.0,16528.0,0.436,0.0,27.0
Almada,Private room in farm stay,3,17811.666666666668,8089.0,53435.0,0.19299999999999998,3.3333333333333335,41.0
Almada,Private room in guest suite,1,13483.0,13483.0,13483.0,0.523,1.0,26.0
Almada,Private room in guesthouse,1,23772.0,23772.0,23772.0,0.452,1.0,41.0
Almada,Private room in home,13,7082.923076923077,7040.0,92078.0,0.34700000000000003,0.38461538461538464,31.153846153846153
Almada,Private room in rental unit,6,6445.833333333333,4502.5,38675.0,0.2996666666666667,1.5,38.833333333333336
Almada,Private room in townhouse,1,6598.0,6598.0,6598.0,0.477,0.0,14.0
Almada,Private room in villa,1,14378.0,14378.0,14378.0,0.732,0.0,45.0
Almada,Shared room in chalet,2,2583.0,2583.0,5166.0,0.211,0.0,17.0
Almada,Windmill,1,38996.0,38996.0,38996.0,0.726,1.0,56.0
Almuñécar,Castle,1,26739.0,26739.0,26739.0,0.452,1.0,44.0
Almuñécar,Entire bungalow,2,10525.0,10525.0,21050.0,0.27,2.0,47.0
Almuñécar,Entire chalet,2,26550.5,26550.5,53101.0,0.311,3.0,42.5
